obs_id,true_value,meas_value,corr_value,diff(%)
4,  -5.7806  -2.77847 -0.291101  0.392372, -6.06015  -2.79925 -0.282037  0.419029, -5.99049  -2.84097 -0.282037  0.419029, 3.63093  2.24959 -3.11386   6.7939
16,  2.41119   12.2929 -0.206128  0.390511,  2.1467  12.4462 -0.19464 0.405169, 2.07572  12.0364 -0.19464 0.405169,-13.9133 -2.08677 -5.57311  3.75345
17,  9.19069  -2.27808 -0.493217 -0.342972,  8.89501  -2.43805 -0.480957 -0.342601,  8.99091   -2.4628 -0.480957 -0.342601, -2.17373   8.10884  -2.48579 -0.108314
18, 5.04036   5.0796 -0.38613 0.451551,  5.22433   5.09126 -0.313334  0.467869,  5.17224   5.10054 -0.313334  0.467869, 2.61646 0.412149 -18.8526  3.61393
0,  4.03468    4.1831 -0.248269  0.439914,  3.69957   4.07686 -0.292675  0.495028,  3.70955   4.14681 -0.292675  0.495028, -8.05853 -0.867555   17.8861   12.5283
4, -5.79031  -2.76539 -0.291101  0.392372, -5.67641  -3.12749 -0.283037  0.368641, -5.74924  -3.05984 -0.283037  0.368641,-0.709215   10.6475  -2.77027  -6.04815
16,  2.40432   12.3059 -0.206128  0.390511,  2.38451   12.4608 -0.198123  0.368809,  2.31647   12.3721 -0.198123  0.368809,-3.65416 0.538149 -3.88347  -5.5572
17,  9.17425  -2.28951 -0.493217 -0.342972,  9.15307  -2.60131 -0.483606 -0.310084,  9.11295   -2.5727 -0.483606 -0.310084,-0.668198   12.3689  -1.94864   -9.5893
18, 5.02749  5.09466 -0.38613 0.451551,  4.88804   5.12675 -0.369958  0.506899,  4.94967   5.12436 -0.369958  0.506899, -1.5479 0.583016 -4.18811  12.2573
0,  4.02641   4.19776 -0.248269  0.439914,  4.12716    4.5539 -0.268261  0.438767,  4.03094   4.46595 -0.268261  0.438767, 0.112589   6.38901   8.05245 -0.260713
4, -5.80001  -2.75231 -0.291101  0.392372, -5.76809  -2.88121 -0.349749  0.395628, -5.76597  -2.91866 -0.349749  0.395628,-0.586944   6.04389   20.1469  0.829785
16,  2.39745   12.3189 -0.206128  0.390511,  2.38923   11.7825 -0.252429  0.432136,   2.3714   11.9178 -0.252429  0.432136,-1.08668 -3.25641  22.4622  10.6592
17,  9.15781  -2.30094 -0.493217 -0.342972,  8.92529  -2.48535 -0.495609 -0.338602,  8.96391  -2.50734 -0.495609 -0.338602,-2.11734  8.97034 0.484893 -1.27419
18, 5.01462  5.10971 -0.38613 0.451551,  4.91865   5.25224 -0.380222   0.48875,  4.92286   5.22725 -0.380222   0.48875,-1.82992  2.30039 -1.53007  8.23822
0,  4.01813   4.21242 -0.248269  0.439914,  3.96944   4.22895 -0.195724  0.426034,  3.98127   4.28561 -0.195724  0.426034,-0.917371   1.73731  -21.1646  -3.15518
4, -5.80971  -2.73923 -0.291101  0.392372, -6.04123  -2.43809 -0.280639  0.391489, -5.98188  -2.54332 -0.280639  0.391489,  2.96338  -7.15207  -3.59401 -0.225022
16,  2.39058   12.3319 -0.206128  0.390511,  2.69566   12.3345 -0.197497  0.386465,  2.62076   12.2439 -0.197497  0.386465,  9.62874 -0.713736  -4.18707  -1.03597
17,  9.14137  -2.31237 -0.493217 -0.342972,  8.65304  -2.39969 -0.548787 -0.362385,  8.71932  -2.42647 -0.548787 -0.362385,-4.61699    4.934  11.2668  5.66011
18, 5.00175  5.12476 -0.38613 0.451551,  5.04169   4.66398 -0.352792  0.467049,  5.01209   4.79447 -0.352792  0.467049,0.206598 -6.44495 -8.63393  3.43226
0,  4.00986   4.22709 -0.248269  0.439914,  3.94638   4.30101 -0.283057  0.416403,  3.95277   4.30074 -0.283057  0.416403,-1.42364  1.74243  14.0122 -5.34445
